"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","year","sex"
"69","Gentoo","Biscoe",45.3,13.7,210,4300,"2008","female"
"70","Gentoo","Biscoe",43.6,13.9,217,4900,"2008","female"
"71","Gentoo","Biscoe",44.9,13.3,213,5100,"2008","female"
"72","Gentoo","Biscoe",45.1,14.4,210,4400,"2008","female"
"73","Gentoo","Biscoe",45.3,13.8,208,4200,"2008","female"
"74","Gentoo","Biscoe",45.7,13.9,214,4400,"2008","female"
"75","Gentoo","Biscoe",43.5,14.2,220,4700,"2008","female"
"76","Gentoo","Biscoe",47.7,15,216,4750,"2008","female"
"77","Gentoo","Biscoe",46.4,15,216,4700,"2008","female"
"78","Gentoo","Biscoe",47.5,14.2,209,4600,"2008","female"
"79","Gentoo","Biscoe",45.2,13.8,215,4750,"2008","female"
"80","Gentoo","Biscoe",49.1,14.5,212,4625,"2009","female"
"81","Gentoo","Biscoe",47.4,14.6,212,4725,"2009","female"
"82","Gentoo","Biscoe",44.9,13.8,212,4750,"2009","female"
"83","Gentoo","Biscoe",43.4,14.4,218,4600,"2009","female"
"84","Gentoo","Biscoe",47.5,15,218,4950,"2009","female"
"85","Gentoo","Biscoe",45.5,14.5,212,4750,"2009","female"
"86","Gentoo","Biscoe",46.9,14.6,222,4875,"2009","female"
"87","Gentoo","Biscoe",48.4,14.4,203,4625,"2009","female"
"88","Gentoo","Biscoe",48.5,15,219,4850,"2009","female"
"89","Gentoo","Biscoe",47.2,15.5,215,4975,"2009","female"
"90","Gentoo","Biscoe",43.3,14,208,4575,"2009","female"
"91","Gentoo","Biscoe",43.5,15.2,213,4650,"2009","female"
"92","Gentoo","Biscoe",46.2,14.1,217,4375,"2009","female"
"93","Gentoo","Biscoe",47.2,13.7,214,4925,"2009","female"
"94","Gentoo","Biscoe",45.2,14.8,212,5200,"2009","female"
"95","Chinstrap","Dream",46.5,17.9,192,3500,"2007","female"
"96","Chinstrap","Dream",45.4,18.7,188,3525,"2007","female"
"97","Chinstrap","Dream",46.1,18.2,178,3250,"2007","female"
"98","Chinstrap","Dream",46,18.9,195,4150,"2007","female"
"99","Chinstrap","Dream",46.6,17.8,193,3800,"2007","female"
"100","Chinstrap","Dream",47,17.3,185,3700,"2007","female"
"101","Chinstrap","Dream",45.9,17.1,190,3575,"2007","female"
"102","Chinstrap","Dream",58,17.8,181,3700,"2007","female"
"103","Chinstrap","Dream",46.4,18.6,190,3450,"2007","female"
"104","Chinstrap","Dream",42.4,17.3,181,3600,"2007","female"
"105","Chinstrap","Dream",43.2,16.6,187,2900,"2007","female"
"106","Chinstrap","Dream",46.4,17.8,191,3700,"2008","female"
"107","Chinstrap","Dream",42.5,16.7,187,3350,"2008","female"
"108","Chinstrap","Dream",47.5,16.8,199,3900,"2008","female"
"109","Chinstrap","Dream",47.6,18.3,195,3850,"2008","female"
"110","Chinstrap","Dream",46.9,16.6,192,2700,"2008","female"
"111","Chinstrap","Dream",46.2,17.5,187,3650,"2008","female"
"112","Chinstrap","Dream",45.5,17,196,3500,"2008","female"
"113","Chinstrap","Dream",50.9,17.9,196,3675,"2009","female"
"114","Chinstrap","Dream",50.1,17.9,190,3400,"2009","female"
"115","Chinstrap","Dream",49.8,17.3,198,3675,"2009","female"
"116","Chinstrap","Dream",48.1,16.4,199,3325,"2009","female"
"117","Chinstrap","Dream",45.7,17.3,193,3600,"2009","female"
"118","Chinstrap","Dream",42.5,17.3,187,3350,"2009","female"
"119","Chinstrap","Dream",45.2,16.6,191,3250,"2009","female"
"120","Chinstrap","Dream",45.6,19.4,194,3525,"2009","female"
"121","Chinstrap","Dream",46.8,16.5,189,3650,"2009","female"
"122","Chinstrap","Dream",45.7,17,195,3650,"2009","female"
"123","Chinstrap","Dream",43.5,18.1,202,3400,"2009","female"
"124","Adelie","Torgersen",39.1,18.7,181,3750,"2007","male"
"125","Adelie","Torgersen",39.3,20.6,190,3650,"2007","male"
"126","Adelie","Torgersen",39.2,19.6,195,4675,"2007","male"
"127","Adelie","Torgersen",38.6,21.2,191,3800,"2007","male"
"128","Adelie","Torgersen",34.6,21.1,198,4400,"2007","male"
"129","Adelie","Torgersen",42.5,20.7,197,4500,"2007","male"
"130","Adelie","Torgersen",46,21.5,194,4200,"2007","male"
"131","Adelie","Biscoe",37.7,18.7,180,3600,"2007","male"
"132","Adelie","Biscoe",38.2,18.1,185,3950,"2007","male"
"133","Adelie","Biscoe",38.8,17.2,180,3800,"2007","male"
"134","Adelie","Biscoe",40.6,18.6,183,3550,"2007","male"
"135","Adelie","Dream",37.2,18.1,178,3900,"2007","male"
"136","Adelie","Dream",40.9,18.9,184,3900,"2007","male"
"137","Adelie","Dream",38.8,20,190,3950,"2007","male"
"138","Adelie","Dream",39.8,19.1,184,4650,"2007","male"
"139","Adelie","Dream",40.8,18.4,195,3900,"2007","male"
"140","Adelie","Dream",39.6,18.8,190,4600,"2007","male"
"141","Adelie","Dream",42.3,21.2,191,4150,"2007","male"
"142","Adelie","Biscoe",40.1,18.9,188,4300,"2008","male"
"143","Adelie","Biscoe",42,19.5,200,4050,"2008","male"
"144","Adelie","Biscoe",41.4,18.6,191,3700,"2008","male"
"145","Adelie","Biscoe",40.6,18.8,193,3800,"2008","male"
"146","Adelie","Biscoe",37.6,19.1,194,3750,"2008","male"
"147","Adelie","Biscoe",41.3,21.1,195,4400,"2008","male"
"148","Adelie","Biscoe",41.1,18.2,192,4050,"2008","male"
"149","Adelie","Biscoe",41.6,18,192,3950,"2008","male"
"150","Adelie","Biscoe",41.1,19.1,188,4100,"2008","male"
"151","Adelie","Torgersen",41.8,19.4,198,4450,"2008","male"
"152","Adelie","Torgersen",39.7,18.4,190,3900,"2008","male"
"153","Adelie","Torgersen",42.8,18.5,195,4250,"2008","male"
"154","Adelie","Torgersen",37.2,19.4,184,3900,"2008","male"
"155","Adelie","Torgersen",42.1,19.1,195,4000,"2008","male"
"156","Adelie","Torgersen",35.1,19.4,193,4200,"2008","male"
"157","Adelie","Dream",41.3,20.3,194,3550,"2008","male"
"158","Adelie","Dream",36.3,19.5,190,3800,"2008","male"
"159","Adelie","Dream",38.3,19.2,189,3950,"2008","male"
"160","Adelie","Dream",40.8,18.9,208,4300,"2008","male"
"161","Adelie","Dream",40.3,18.5,196,4350,"2008","male"
"162","Adelie","Dream",43.2,18.5,192,4100,"2008","male"
"163","Adelie","Biscoe",41,20,203,4725,"2009","male"
"164","Adelie","Biscoe",43.2,19,197,4775,"2009","male"
"165","Adelie","Biscoe",45.6,20.3,191,4600,"2009","male"
"166","Adelie","Biscoe",42.2,19.5,197,4275,"2009","male"
"167","Adelie","Biscoe",42.7,18.3,196,4075,"2009","male"
"168","Adelie","Torgersen",37.3,20.5,199,3775,"2009","male"
"169","Adelie","Torgersen",41.1,18.6,189,3325,"2009","male"
"170","Adelie","Torgersen",37.7,19.8,198,3500,"2009","male"
"171","Adelie","Torgersen",41.4,18.5,202,3875,"2009","male"
"172","Adelie","Torgersen",40.6,19,199,4000,"2009","male"
"173","Adelie","Torgersen",41.5,18.3,195,4300,"2009","male"
"174","Adelie","Torgersen",43.1,19.2,197,3500,"2009","male"
"175","Adelie","Dream",37.5,18.5,199,4475,"2009","male"
"176","Adelie","Dream",40.2,20.1,200,3975,"2009","male"
"177","Adelie","Dream",40.6,17.2,187,3475,"2009","male"
"178","Adelie","Dream",40.7,17,190,3725,"2009","male"
"179","Adelie","Dream",41.5,18.5,201,4000,"2009","male"
"180","Gentoo","Biscoe",50,16.3,230,5700,"2007","male"
"181","Gentoo","Biscoe",46.7,15.3,219,5200,"2007","male"
"182","Gentoo","Biscoe",49,16.1,216,5550,"2007","male"
"183","Gentoo","Biscoe",49.3,15.7,217,5850,"2007","male"
"184","Gentoo","Biscoe",49.2,15.2,221,6300,"2007","male"
"185","Gentoo","Biscoe",48.7,15.1,222,5350,"2007","male"
"186","Gentoo","Biscoe",50.2,14.3,218,5700,"2007","male"
"187","Gentoo","Biscoe",46.3,15.8,215,5050,"2007","male"
"188","Gentoo","Biscoe",46.1,15.1,215,5100,"2007","male"
"189","Gentoo","Biscoe",47.8,15,215,5650,"2007","male"
"190","Gentoo","Biscoe",50,15.3,220,5550,"2007","male"
"191","Gentoo","Biscoe",47.3,15.3,222,5250,"2007","male"
"192","Gentoo","Biscoe",59.6,17,230,6050,"2007","male"
"193","Gentoo","Biscoe",48.4,16.3,220,5400,"2008","male"
"194","Gentoo","Biscoe",48.7,15.7,208,5350,"2008","male"
"195","Gentoo","Biscoe",49.6,16,225,5700,"2008","male"
"196","Gentoo","Biscoe",50.5,15.9,225,5400,"2008","male"
"197","Gentoo","Biscoe",48.5,14.1,220,5300,"2008","male"
"198","Gentoo","Biscoe",50.1,15,225,5000,"2008","male"
"199","Gentoo","Biscoe",45,15.4,220,5050,"2008","male"
"200","Gentoo","Biscoe",46.2,14.9,221,5300,"2008","male"
"201","Gentoo","Biscoe",54.3,15.7,231,5650,"2008","male"
"202","Gentoo","Biscoe",49.8,16.8,230,5700,"2008","male"
"203","Gentoo","Biscoe",49.5,16.2,229,5800,"2008","male"
"204","Gentoo","Biscoe",50.7,15,223,5550,"2008","male"
"205","Gentoo","Biscoe",46.4,15.6,221,5000,"2008","male"
"206","Gentoo","Biscoe",48.2,15.6,221,5100,"2008","male"
"207","Gentoo","Biscoe",48.6,16,230,5800,"2008","male"
"208","Gentoo","Biscoe",51.1,16.3,220,6000,"2008","male"
"209","Gentoo","Biscoe",45.2,16.4,223,5950,"2008","male"
"210","Gentoo","Biscoe",50,15.9,224,5350,"2009","male"
"211","Gentoo","Biscoe",51.3,14.2,218,5300,"2009","male"
"212","Gentoo","Biscoe",52.1,17,230,5550,"2009","male"
"213","Gentoo","Biscoe",49.5,16.1,224,5650,"2009","male"
"214","Gentoo","Biscoe",50.8,15.7,226,5200,"2009","male"
"215","Gentoo","Biscoe",49.4,15.8,216,4925,"2009","male"
"216","Gentoo","Biscoe",51.1,16.5,225,5250,"2009","male"
"217","Gentoo","Biscoe",55.9,17,228,5600,"2009","male"
"218","Gentoo","Biscoe",49.1,15,228,5500,"2009","male"
"219","Gentoo","Biscoe",46.8,16.1,215,5500,"2009","male"
"220","Gentoo","Biscoe",53.4,15.8,219,5500,"2009","male"
"221","Gentoo","Biscoe",48.1,15.1,209,5500,"2009","male"
"222","Gentoo","Biscoe",49.8,15.9,229,5950,"2009","male"
"223","Gentoo","Biscoe",55.1,16,230,5850,"2009","male"
"224","Gentoo","Biscoe",48.8,16.2,222,6000,"2009","male"
"225","Gentoo","Biscoe",49.9,16.1,213,5400,"2009","male"
"226","Chinstrap","Dream",50,19.5,196,3900,"2007","male"
"227","Chinstrap","Dream",51.3,19.2,193,3650,"2007","male"
"228","Chinstrap","Dream",52.7,19.8,197,3725,"2007","male"
"229","Chinstrap","Dream",51.3,18.2,197,3750,"2007","male"
"230","Chinstrap","Dream",52,18.1,201,4050,"2007","male"
"231","Chinstrap","Dream",50.5,19.6,201,4050,"2007","male"
"232","Chinstrap","Dream",50.3,20,197,3300,"2007","male"
"233","Chinstrap","Dream",49.2,18.2,195,4400,"2007","male"
"234","Chinstrap","Dream",50.6,19.4,193,3800,"2007","male"
"235","Chinstrap","Dream",49.5,19,200,3800,"2008","male"
"236","Chinstrap","Dream",52.8,20,205,4550,"2008","male"
"237","Chinstrap","Dream",54.2,20.8,201,4300,"2008","male"
"238","Chinstrap","Dream",51,18.8,203,4100,"2008","male"
"239","Chinstrap","Dream",53.5,19.9,205,4500,"2008","male"
"240","Chinstrap","Dream",49,19.5,210,3950,"2008","male"
"241","Chinstrap","Dream",50.8,18.5,201,4450,"2009","male"
"242","Chinstrap","Dream",49,19.6,212,4300,"2009","male"
"243","Chinstrap","Dream",51.4,19,201,3950,"2009","male"
"244","Chinstrap","Dream",50.7,19.7,203,4050,"2009","male"
"245","Chinstrap","Dream",49.3,19.9,203,4050,"2009","male"
"246","Chinstrap","Dream",51.9,19.5,206,3950,"2009","male"
"247","Chinstrap","Dream",55.8,19.8,207,4000,"2009","male"
"248","Chinstrap","Dream",49.6,18.2,193,3775,"2009","male"
"249","Chinstrap","Dream",50.8,19,210,4100,"2009","male"
